name,url,total,Ted Cruz,Tommy Tuberville,Joshua Hawley,Rick Scott,Richard Shelby,"Marshall, Roger",Bill Haggerty,Marsha Blackburn,John Kennedy,Cynthia Lummis,Tom Cotton,Marco Rubio,John Barraso,Rand Paul,Tim Scott,Pat Toomey,Mike Lee,John Boozman,James Lankford,Cindy Hyde-Smith,Benjamin Sasse,Bill Cassidy,Steven Daines,John Hoeven,James Inhofe,Joni Ernst,Mike Braun,Jim Risch,Michael Crapo,Deb Fischer,Jerry Moran,John Thune,Ron Johnson,John Cornyn,Dan Sullivan,Kevin Cramer,Todd Young,Thom Tills,Roger Wicker,Roy Blunt,Shelley Moore Capito,Mitch McConnell,Chuck Grassley,Mitt Romney,Richard Burr,Mike Rounds,Rob Portman,Lindsey Graham,Lisa Murkowski,First Highest Donatee,Second Highest Donatee,Third Highest Donatee
Mountaire Corp,,53820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16600,0,0,0,0,0,25620,0,0,0,0,0,0,11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joni Ernst,Cindy Hyde-Smith,Ron Johnson
Thompson Coburn LLP,,53800,0,0,22000,0,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,0,Roy Blunt,Joshua Hawley,Cynthia Lummis
Reliance Telephone,www.reliancetelephone.com,53700,0,2900,0,0,0,0,0,0,0,0,0,0,0,11600,0,0,0,0,0,0,0,0,0,11600,0,0,0,11600,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Cramer,Rand Paul,Rand Paul
Latham & Watkins,www.lw.com,53500,0,0,0,0,0,0,0,0,39900,0,0,0,0,13600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Kennedy,Rand Paul,Ted Cruz
Colsa Corp,,53200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Inhofe,Ted Cruz,Ted Cruz
Franklin Resources,www.franklinresources.com,53200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42400,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,Dan Sullivan,Kevin Cramer,Ted Cruz
Golden Age Farm,,52800,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rand Paul,Mike Lee,Ted Cruz
Emerson Electric,www.emerson.kr,52675,0,0,52675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joshua Hawley,Ted Cruz,Ted Cruz
National Restaurant Assn,,52500,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Thune,John Barraso,Ted Cruz
Performance Contractors Inc,,52421,0,2900,0,0,0,0,0,0,28321,0,0,0,0,0,0,0,0,0,0,0,0,21200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Kennedy,Bill Cassidy,Tommy Tuberville
Allstate Insurance,www.allstate.com,52419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500,0,0,0,Tim Scott,Mike Rounds,Ted Cruz
Parman Capital Group,,52400,21200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31200,0,Lindsey Graham,Ted Cruz,Tommy Tuberville
Yates Construction,www.wgyates.com,52300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27400,0,0,0,0,0,0,0,0,0,0,Roger Wicker,Cindy Hyde-Smith,Ted Cruz
Masimo Corp,,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,Todd Young,Ted Cruz,Ted Cruz
Spencer Enterprises,www.spencerenterprises.com,51875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13300,12500,0,0,0,0,0,0,0,26075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joni Ernst,Mike Lee,John Boozman
Fiduciary Management Inc,,51800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ron Johnson,Ted Cruz,Ted Cruz
Jasper Engines & Transmissions,www.jasperengines.com,51650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike Braun,Ted Cruz,Ted Cruz
Sewell Automotive,www.sewell.com,51312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Cornyn,Ted Cruz,Ted Cruz
Frontier Technology,www.frontiertechnologyinstitute.com,51000,0,0,0,0,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Richard Shelby,Ted Cruz,Ted Cruz
Sutton Ventures Group,,51000,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ted Cruz,Tommy Tuberville,Tommy Tuberville
Atco Investment,,50900,0,0,0,0,0,0,0,0,21100,0,0,0,0,0,0,0,0,0,0,0,0,29800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bill Cassidy,John Kennedy,Ted Cruz
Cajun Industries,www.cajunusa.com,50550,0,0,0,0,0,0,0,0,0,0,0,0,0,11600,0,0,0,0,0,0,0,38950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bill Cassidy,Rand Paul,Ted Cruz
American Council of Engineering Cos,,50500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,Mike Braun,John Boozman,Mike Rounds
Caterpillar Inc,,50484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35464,0,0,0,0,0,0,0,Mitch McConnell,Cindy Hyde-Smith,Ted Cruz
Fluor Corp,,50315,0,0,0,0,0,0,0,0,15296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35019,0,Lindsey Graham,John Kennedy,Ted Cruz
Tom James Co,www.tomjames.com,50300,0,0,0,0,0,0,0,27700,0,0,0,0,0,0,0,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marsha Blackburn,Pat Toomey,Ted Cruz
Depository Trust & Clearing Corp,www.omgeo.com,50250,0,0,0,0,10250,0,0,0,0,0,0,17500,0,0,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Scott,Marco Rubio,Richard Shelby
American Society of Interventional Pain Physicians,www.asipp.org,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bill Cassidy,John Boozman,Ted Cruz
Associated General Contractors,www.agc.org,50000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,Mitch McConnell,"Marshall, Roger",Ted Cruz
Continuing America's Strength & Security,,50000,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,Lisa Murkowski,Cynthia Lummis,Cynthia Lummis
Lank PAC,,50000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,10000,0,0,15000,0,0,0,10000,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cindy Hyde-Smith,Mike Lee,Mike Lee
National Roofing Contractors Assn,,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500,0,19000,0,0,0,0,0,0,0,0,0,0,0,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benjamin Sasse,Ron Johnson,James Lankford
Nebraska Sandhills PAC,,50000,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,20000,0,0,0,10000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cindy Hyde-Smith,Cynthia Lummis,Cynthia Lummis
Promoting Our Republican Team PAC,,50000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,Chuck Grassley,Deb Fischer,John Hoeven
Rely on Your Beliefs,,50000,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,20000,0,0,0,10000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cindy Hyde-Smith,Cynthia Lummis,Cynthia Lummis
TCF Financial,,49950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,13950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,Pat Toomey,Pat Toomey,Benjamin Sasse
Heartland Dental Care,www.heartland.com,49940,0,0,0,49940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rick Scott,Ted Cruz,Ted Cruz
Van Scoyoc Assoc,www.vsadc.com,49873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18523,0,0,0,0,0,0,0,0,0,0,0,0,31350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jerry Moran,John Boozman,Ted Cruz
United Launch Alliance,www.ulalaunch.com,49650,0,0,0,0,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22150,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Inhofe,Deb Fischer,Richard Shelby
Nuclear Energy Institute,www.nei.org,49500,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15500,John Barraso,Lisa Murkowski,Jim Risch
US Cellular,www.uscellular.com,49500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,Roy Blunt,Deb Fischer,James Lankford
Kasowitz Benson Torres Llp,,49450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Scott,Ted Cruz,Ted Cruz
"Hall, Render et al",,49311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24311,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Thune,Mike Braun,Ted Cruz
Alticor Inc,www.amwayglobal.com,49200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600,0,0,0,0,0,0,0,10800,0,16800,0,0,0,Kevin Cramer,Mike Rounds,Mitt Romney
Health Carousel,www.healthcarousel.com,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,Todd Young,Ted Cruz,Ted Cruz
USA Rice Federation,www.usarice.com,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Boozman,Cindy Hyde-Smith,Ted Cruz
Polsinelli PC,www.polsinelli.com,48939,0,0,15450,0,0,12189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jerry Moran,Joshua Hawley,"Marshall, Roger"
4life Research,www.liferesearchco.com,48600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21200,0,0,0,0,0,Mike Lee,Mitt Romney,Ted Cruz
British American Tobacco,www.bat.com,48500,0,0,0,0,0,0,0,20500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,25000,0,0,0,0,Richard Burr,Marsha Blackburn,Thom Tills
Huntington Bancshares,www.huntington.com,48500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36500,0,0,Rob Portman,Pat Toomey,Ted Cruz
NAIOP Commercial Real Estate Devel Assn,www.naiop.org,48500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28500,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,John Thune,Roy Blunt,Ted Cruz
Hess Corp,www.hess.com,48400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,John Hoeven,Mitt Romney,Ted Cruz
Woodvine Group,www.woodvinegroup.com,48200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16200,0,0,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bill Cassidy,Mike Lee,Ted Cruz
S&B Engineers & Constructors,www.salesforce.com,47825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Cornyn,Ted Cruz,Ted Cruz
Research Affiliates LLC,,47800,0,0,0,0,0,0,0,0,0,5600,26400,0,0,15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Cotton,Rand Paul,Cynthia Lummis
US Chamber of Commerce,www.uschamber.com,47800,0,0,0,0,0,10000,12800,0,0,10000,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cindy Hyde-Smith,Bill Haggerty,"Marshall, Roger"
Morris & Dickson,www.mgmotor.co.in,47600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bill Cassidy,Ted Cruz,Ted Cruz
Werner Enterprises,www.werner.com,47205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23505,0,0,0,23700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deb Fischer,Joni Ernst,Ted Cruz
NVR Inc,www.nvrinc.com,47200,0,0,0,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25600,0,0,Rob Portman,Rick Scott,Ted Cruz
Townsend Corp,www.townsendcorporation.com,47200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,27200,0,0,0,0,0,0,0,0,0,0,0,0,Todd Young,Mike Braun,Ted Cruz
Small Business Investor Alliance,,47020,0,0,0,0,0,0,0,0,0,0,0,22520,0,0,0,14500,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marco Rubio,Pat Toomey,Jim Risch
Central Management Co,,46700,0,0,0,0,0,0,0,0,24200,0,0,0,0,0,0,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Kennedy,Bill Cassidy,Ted Cruz
Willoughby & Hoefer,www.willoughby.nsw.gov.au,46700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46700,0,Lindsey Graham,Ted Cruz,Ted Cruz
Community Health Systems,www.chs.net,46450,0,0,0,0,0,0,21700,24750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marsha Blackburn,Bill Haggerty,Ted Cruz
Matson Inc,,46325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25950,0,0,0,0,20375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deb Fischer,Dan Sullivan,Ted Cruz
Beasley Media Group,www.bbgi.com,46300,0,0,0,46300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rick Scott,Ted Cruz,Ted Cruz
Herzog,www.herzogdemeuron.com,46050,0,0,46050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joshua Hawley,Ted Cruz,Ted Cruz
National Turkey Federation,www.eatturkey.org,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Boozman,Mike Braun,Ted Cruz
"Calfee, Halter & Griswold",,45800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dan Sullivan,Ted Cruz,Ted Cruz
Oceans Healthcare,www.oceanshealthcare.com,45700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bill Cassidy,Ted Cruz,Ted Cruz
Lynden Inc,,45600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26600,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,Dan Sullivan,Lisa Murkowski,Ted Cruz
Putnam Investments,www.putnam.com,45428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17566,0,0,0,0,27862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joni Ernst,Benjamin Sasse,Ted Cruz
HAEBLER CAPITAL,,45400,0,0,0,0,0,0,0,0,31900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500,0,0,0,0,0,John Kennedy,Mitt Romney,Ted Cruz
General Communication Inc,,45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45300,Lisa Murkowski,Ted Cruz,Ted Cruz
Advance Financial,www.af247.com,45075,0,0,0,0,0,0,15000,30075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marsha Blackburn,Bill Haggerty,Ted Cruz
Guardian Life Insurance,,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Crapo,Pat Toomey,Ted Cruz
Lead Encourage Elect PAC,,45000,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,Cynthia Lummis,John Hoeven,John Hoeven
Reinventing a New Direction,,45000,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,15000,0,0,0,0,0,0,10000,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike Lee,Cynthia Lummis,Cynthia Lummis
Republican Majority Fund,,45000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,10000,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deb Fischer,John Hoeven,John Hoeven
Woodbranch Investments,,45000,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,Roy Blunt,Richard Shelby,Ted Cruz
Ellingson Companies,www.ellingsoncompanies.com,44850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44850,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Cramer,Ted Cruz,Ted Cruz
Qurate Retail,www.qurateretail.com,44590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dan Sullivan,Ted Cruz,Ted Cruz
Denny Elwell Co,www.dennyelwellcompany.com,44500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joni Ernst,Ted Cruz,Ted Cruz
State of North Dakota,,44250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16090,0,0,0,0,0,0,0,0,0,0,0,28160,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Cramer,John Hoeven,Ted Cruz
NASDAQ Inc,,44195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27195,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Scott,Pat Toomey,Ted Cruz
Experian,www.experian.com,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Thune,John Boozman,Ted Cruz
Blessey Marine Service,,43780,0,0,0,0,0,0,0,0,29630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14150,0,0,0,John Kennedy,Mike Rounds,Ted Cruz
HollyFrontier Corp,,43750,0,0,0,0,0,13000,0,0,0,12750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Inhofe,"Marshall, Roger",Cynthia Lummis
Corporate Capital LLC,www.corporatecapitalllc.com,43600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22400,0,0,0,0,0,0,0,0,0,0,Roger Wicker,Cindy Hyde-Smith,Ted Cruz
Nueterra Capital,www.nueterra.com,43600,0,0,0,0,0,43600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marshall, Roger",Ted Cruz,Ted Cruz
Pbf Energy,www.pbfenergy.com,43560,43560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ted Cruz,Tommy Tuberville,Tommy Tuberville
Peabody Energy,www.peabodyenergy.com,43550,0,0,0,0,0,0,0,0,0,11000,0,0,32550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Barraso,Cynthia Lummis,Ted Cruz
Deason Capital Services,,43500,24600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ted Cruz,Mike Lee,Tommy Tuberville
McGuireWoods LLP,,43500,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19500,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Hoeven,Deb Fischer,"Marshall, Roger"
