Companies,URL,Total,Ted Cruz,Tommy Tuberville,Joshua Hawley,Rick Scott,Richard Shelby,"Marshall, Roger",Bill Haggerty,Marsha Blackburn,John Kennedy,Cynthia Lummis,Tom Cotton,Marco Rubio,John Barraso,Rand Paul,Tim Scott,Pat Toomey,Mike Lee,John Boozman,James Lankford,Cindy Hyde-Smith,Benjamin Sasse,Bill Cassidy,Steven Daines,John Hoeven,James Inhofe,Joni Ernst,Mike Braun,Jim Risch,Michael Crapo,Deb Fischer,Jerry Moran,John Thune,Ron Johnson,John Cornyn,Dan Sullivan,Kevin Cramer,Todd Young,Thom Tills,Roger Wicker,Roy Blunt,Shelley Moore Capito,Mitch McConnell,Chuck Grassley,Mitt Romney,Richard Burr,Mike Rounds,Rob Portman,Lindsey Graham,Lisa Murkowski,First Highest Donatee,Second Highest Donatee,Third Highest Donatee
Independent Insurance Agents & Brokers of America,www.independentagent.com,"$206,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$13,000.00",$0.00,$0.00,$0.00,$0.00,"$23,500.00",$0.00,$0.00,$0.00,$0.00,"$34,000.00",$0.00,$0.00,$0.00,$0.00,"$22,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$27,500.00","$14,000.00","$26,000.00","$25,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$21,000.00",$0.00,$0.00,$0.00,Pat Toomey,Michael Crapo,Jerry Moran
Poet LLC,,"$204,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$37,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00",$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,$0.00,$0.00,"$45,600.00",$0.00,$0.00,$0.00,"$15,000.00",$0.00,"$54,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$26,600.00",$0.00,$0.00,$0.00,John Thune,Joni Ernst,"Marshall, Roger"
L3Harris Technologies,www.l3harrisusers.org,"$202,902.00",$0.00,$0.00,$0.00,"$20,311.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$43,527.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$33,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$19,000.00",$0.00,"$21,020.00","$13,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,100.00",$0.00,$0.00,$0.00,"$22,444.00",$0.00,Marco Rubio,James Lankford,Mitt Romney
Stephens Inc,www.revsinclair.com,"$200,745.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$58,200.00",$0.00,"$81,045.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$29,900.00",$0.00,$0.00,"$31,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Tom Cotton,John Kennedy,Benjamin Sasse
Jennmar Corp,,"$199,400.00","$49,900.00",$0.00,"$25,000.00","$24,400.00",$0.00,$0.00,$0.00,"$21,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$27,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$23,500.00",$0.00,$0.00,$0.00,$0.00,"$28,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Ted Cruz,Shelley Moore Capito,Mike Braun
AmerisourceBergen Corp,www.amerisourcebergen.com,"$199,179.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,575.00",$0.00,$0.00,"$23,775.00","$23,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,029.00","$28,500.00","$15,000.00","$16,000.00",$0.00,"$17,500.00",$0.00,$0.00,Marco Rubio,Mitch McConnell,Chuck Grassley
Bluff Point Assoc,www.bluffpt.com,"$197,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$27,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$31,600.00",$0.00,$0.00,$0.00,$0.00,"$36,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$43,800.00",$0.00,"$10,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,400.00","$10,800.00",$0.00,"$16,000.00",$0.00,$0.00,$0.00,John Cornyn,Joni Ernst,Benjamin Sasse
Ernst & Young,www.ernstings-family.de,"$194,485.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$10,500.00","$21,700.00",$0.00,$0.00,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,250.00",$0.00,"$18,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00","$20,500.00",$0.00,$0.00,$0.00,"$10,035.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00",$0.00,$0.00,$0.00,"$10,000.00","$21,000.00",$0.00,$0.00,"$21,500.00",James Lankford,Bill Haggerty,Lisa Murkowski
HCA Inc,www.hca.inc,"$193,748.00",$0.00,$0.00,$0.00,"$34,801.00",$0.00,$0.00,"$68,060.00","$56,100.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$34,787.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Bill Haggerty,Marsha Blackburn,Rick Scott
Atlas Air Worldwide,www.atlasairworldwide.com,"$192,115.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,900.00",$0.00,"$11,800.00",$0.00,"$18,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$53,925.00",$0.00,$0.00,$0.00,$0.00,"$26,800.00",$0.00,"$35,190.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,500.00",Dan Sullivan,Mitch McConnell,Roy Blunt
Crawford Group,www.crawfordgroup.com,"$190,980.00","$31,206.00",$0.00,"$13,954.00","$21,210.00",$0.00,"$13,100.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,502.00","$20,604.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,500.00",$0.00,"$37,904.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Mitch McConnell,Roy Blunt,Ted Cruz
Centene Corp,,"$190,221.00",$0.00,$0.00,"$13,700.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$32,595.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,500.00","$27,650.00",$0.00,$0.00,$0.00,"$21,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,176.00",$0.00,$0.00,$0.00,"$24,300.00",$0.00,"$19,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,John Barraso,Todd Young,Bill Cassidy
Elliott Management,,"$189,950.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$33,500.00",$0.00,$0.00,"$38,350.00",$0.00,$0.00,$0.00,"$25,300.00",$0.00,$0.00,"$11,600.00",$0.00,"$49,700.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$31,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Dan Sullivan,Joni Ernst,Steven Daines
Williams Companies,www.williams.com,"$187,200.00",$0.00,$0.00,"$16,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,000.00",$0.00,$0.00,"$35,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$43,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$49,700.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$36,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,James Inhofe,James Lankford,Shelley Moore Capito
ConocoPhillips,www.conocophillips.com,"$186,285.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$45,316.00","$37,775.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$45,344.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$57,850.00",Lisa Murkowski,Mitch McConnell,John Cornyn
Sinclair Companies,,"$182,750.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$14,000.00",$0.00,$0.00,"$44,850.00",$0.00,$0.00,$0.00,"$35,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$21,600.00",$0.00,$0.00,$0.00,$0.00,"$10,600.00","$23,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$32,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,John Barraso,Mike Lee,Mitt Romney
Capital One Financial,www.capitalonefinancial.co,"$181,829.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$36,445.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$40,859.00","$25,025.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$27,000.00",$0.00,"$17,500.00","$35,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Tim Scott,John Kennedy,John Thune
Oracle Corp,www.oracle.com,"$181,153.00",$0.00,$0.00,"$19,392.00",$0.00,$0.00,"$10,730.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$21,930.00",$0.00,$0.00,$0.00,$0.00,"$22,465.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$28,500.00","$25,400.00",$0.00,$0.00,"$18,572.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$34,164.00",$0.00,Lindsey Graham,Jerry Moran,John Thune
Susan B Anthony List,,"$179,897.00",$0.00,$0.00,"$23,619.00",$0.00,$0.00,"$20,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$27,168.00",$0.00,$0.00,$0.00,"$65,225.00",$0.00,$0.00,"$31,735.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$11,950.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Steven Daines,Joni Ernst,James Lankford
KPMG LLP,,"$179,662.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$10,010.00",$0.00,$0.00,$0.00,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$18,500.00",$0.00,$0.00,$0.00,$0.00,"$23,575.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,002.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,575.00",$0.00,$0.00,$0.00,"$19,500.00",$0.00,$0.00,$0.00,"$7,500.00","$17,000.00",$0.00,$0.00,"$35,000.00",Lisa Murkowski,Michael Crapo,Benjamin Sasse
Telapex Inc,,"$175,280.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$79,380.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$95,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Roger Wicker,Cindy Hyde-Smith,Ted Cruz
JW Childs Assoc,www.jwchilds.com,"$175,000.00","$46,600.00",$0.00,$0.00,"$18,900.00",$0.00,$0.00,$0.00,$0.00,"$16,600.00",$0.00,"$36,200.00",$0.00,$0.00,"$10,800.00",$0.00,$0.00,"$19,100.00",$0.00,$0.00,$0.00,"$16,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Ted Cruz,Tom Cotton,Mike Lee
"Nelson, Mullins et al",,"$171,079.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$73,070.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$98,009.00",$0.00,Lindsey Graham,Tim Scott,Ted Cruz
Collazo Enterprises,,"$171,063.00",$0.00,$0.00,$0.00,$0.00,"$110,000.00",$0.00,"$26,000.00",$0.00,$0.00,$0.00,$0.00,"$35,063.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Richard Shelby,Marco Rubio,Bill Haggerty
Energy Transfer LP,,"$168,599.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,250.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$72,789.00",$0.00,"$78,560.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Kevin Cramer,John Cornyn,John Kennedy
American Express,www.americanexpress.com,"$168,145.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,325.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$14,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$22,000.00",$0.00,"$17,500.00","$40,320.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00","$6,000.00",$0.00,"$22,500.00",$0.00,$0.00,John Thune,Tim Scott,Rob Portman
Senior Star,www.seniorstar.com,"$165,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$23,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$16,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$21,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$61,400.00","$19,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$23,200.00",Roy Blunt,James Lankford,James Lankford
Nucor Corp,,"$158,449.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$35,255.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$22,944.00",$0.00,$0.00,"$24,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$27,825.00",$0.00,$0.00,"$16,000.00",$0.00,$0.00,$0.00,"$31,825.00",$0.00,John Kennedy,Lindsey Graham,Shelley Moore Capito
Toyota Motor Corp,www.toyota.com,"$156,736.00","$21,357.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$25,825.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$14,486.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$21,053.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$34,510.00",$0.00,$0.00,$0.00,$0.00,"$27,002.00",$0.00,$0.00,$0.00,"$12,503.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,John Cornyn,Roger Wicker,Bill Haggerty
MacAndrews & Forbes,www.macandrewsandforbes.com,"$156,110.00",$0.00,$0.00,$0.00,$0.00,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$35,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$34,657.00","$50,253.00",$0.00,Lindsey Graham,Todd Young,Rob Portman
Leidos Inc,www.leidos.com,"$155,808.00",$0.00,$0.00,$0.00,$0.00,"$55,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$11,500.00","$29,054.00",$0.00,$0.00,$0.00,$0.00,"$23,254.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,000.00",$0.00,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Richard Shelby,Cindy Hyde-Smith,James Inhofe
Bluewater International,www.bluewaterintl.com,"$155,600.00","$49,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$26,200.00","$23,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,600.00",$0.00,$0.00,$0.00,"$28,300.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Ted Cruz,James Inhofe,Tom Cotton
Huffines Communities,www.huffinescommunities.com,"$155,300.00","$61,300.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$78,400.00",$0.00,$0.00,"$15,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Rand Paul,Ted Cruz,Mike Lee
Reyes Holdings,www.reyesholdings.com,"$153,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$34,800.00",$0.00,"$22,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$40,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$33,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$21,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Mike Braun,John Kennedy,John Cornyn
Veritas Capital,www.veritascapital.com,"$153,418.00",$0.00,$0.00,$0.00,$0.00,"$26,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$44,558.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,560.00",$0.00,$0.00,$0.00,"$41,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Marco Rubio,Roger Wicker,Richard Shelby
American Trucking Assns,,"$152,000.00",$0.00,$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,$0.00,$0.00,"$5,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,$0.00,$0.00,"$25,000.00","$18,500.00","$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$26,000.00","$17,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,John Thune,Roy Blunt,Deb Fischer
Florida Crystals,www.floridacrystals.com,"$148,161.00",$0.00,$0.00,$0.00,"$35,100.00",$0.00,$0.00,$0.00,$0.00,"$46,400.00",$0.00,$0.00,"$48,761.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$17,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Marco Rubio,John Kennedy,Rick Scott
American Seniors Housing Assn,www.ashaliving.org,"$148,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$27,500.00",$0.00,$0.00,"$22,500.00",$0.00,$0.00,$0.00,"$28,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,500.00","$11,000.00",$0.00,$0.00,$0.00,$0.00,"$28,500.00",James Lankford,James Lankford,Marco Rubio
CoreCivic Inc,www.corecivic.com,"$146,795.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$47,528.00","$63,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$21,867.00","$14,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Marsha Blackburn,Bill Haggerty,Steven Daines
Rogers Group,www.rogersgroupincint.com,"$146,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$108,700.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,700.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Bill Haggerty,Todd Young,Ted Cruz
Laborers Union,www.local169.com,"$143,205.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$35,075.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$40,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$32,530.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$35,000.00",Dan Sullivan,Steven Daines,Lisa Murkowski
The Villages,www.thevillages.com,"$141,775.00",$0.00,$0.00,$0.00,"$141,775.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Rick Scott,Ted Cruz,Ted Cruz
Kirkland & Ellis,www.kirklands.com,"$140,288.00",$0.00,$0.00,"$30,428.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$36,150.00",$0.00,$0.00,"$39,550.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$21,060.00","$13,100.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Tim Scott,Marco Rubio,Joshua Hawley
